Ersterwähnung;Ort;Landkreis;GPS
852;Schönstedt;Unstrut-Hainich-Kreis;51.12002021265624, 10.582981033442044
856;Helmershausen;SM;50.56344745495283, 10.235667425545996
856;Rippersroda;Ilm-Kreis;50.757993302118976, 10.872393944918098
;;;
856;Kranichfeld;Weimarer Land;50.858480832208656, 11.202291954219556
;;;
856;Sohnstedt;Weimarer Land;50.960629266528656, 11.17241419220435
;;;
856;Solsdorf;Saalfeld-Rudolstadt;50.71556563518781, 11.161544042341118
856;Volkstedt (Rudolstadt);Saalfeld-Rudolstadt;50.701810353127456, 11.31993186847748
856;Geilsdorf (Stadtilm);Ilm-Kreis;50.74414438555365, 11.080281317135816
;;;
857;Neubrunn;SM;50.49930480963738, 10.46694913110115
857;Wohlmuthausen;SM;50.574120704608674, 10.211381570928943
860;Bechstedtstraß;Weimarer Land;50.9572206035164, 11.19722801605917
;;;
860;Großromstedt;Weimarer Land;50.97938938874741, 11.494107572390137
;;;
860;Wangenheim;Gotha;51.02054812487148, 10.62991700875541
;;;
860;Kammerforst;Unstrut-Hainich-Kreis;51.120723837090914, 10.425753337471557
860;Sundhausen;Unstrut-Hainich-Kreis;51.15634203622608, 10.711944184274083
860;Greußen;Kyffhäuserkreis;51.22880025672405, 10.952484666160226
;;;
860;Seebach;WAK;50.914413555102065, 10.42409533019108
863;Stepfershausen;SM;50.59709498841543, 10.298492824759778
;;;
869;Klings;SM;50.649393437043706, 10.115478324245867
;;;
870;Bendeleben;Kyffhäuserkreis;51.373306976244066, 11.008373865491775
;;;
871;Westenfeld (Römhild);HBN;50.4307867284819, 10.4984633865367
;;;
873;Leimbach;WAK;50.81417411015967, 10.188927984403065
;;;
874;Ottenhausen (Weißensee);Sömmerda;51.213842529657406, 11.00169795232661
874;Wickerstedt;Weimarer Land;51.05954406653739, 11.542439151056264
;;;
874;Wormstedt;Weimarer Land;51.02969508262997, 11.598650517265412
874;Großheringen;Weimarer Land;51.10755600232166, 11.660280949660418
874;Magdala;Weimarer Land;50.906290559590225, 11.445194960544006
874;Gebstedt;Weimarer Land;51.09474957376377, 11.517396157763104
874;Hermstedt;Weimarer Land;50.99376111450846, 11.536030005491483
874;Bufleben;Gotha;50.999859410057454, 10.739302787960852
874;Haina;Gotha;50.98901185703795, 10.517377737856906
874;Uelleben;Gotha;50.91442880175925, 10.70151360108925
874;Burgtonna;Gotha;51.06761898178138, 10.724603306210815
874;Weißenborn;Eichsfeld;51.12497995095073, 10.119058197078735
;;;
874;Töttelstedt;Erfurt;51.01329099067559, 10.879457419886611
;;;
874;Gundersleben;Kyffhäuserkreis;51.3014929512858, 10.77134877564198
;;;
874;Thüringenhausen;Kyffhäuserkreis;51.27052030520678, 10.814826389650063
;;;
874;Oberheldrungen;Kyffhäuserkreis;51.279088774297996, 11.243987710128362
874;Treppendorf (Rudolstadt);Saalfeld-Rudolstadt;50.810482977637946, 11.267602131500885
874;Hellingen;Saalfeld-Rudolstadt;50.25424030297668, 10.68974243401372
874;Simmershausen (Römhild);HBN;50.371560404848736, 10.642496887489145
;;;
874;Ober-/Unterkatz;SM;50.61293743773744, 10.24209356451583
874;Wasungen;SM;50.659668284139904, 10.373734008152038
874;Gerthausen;SM;50.57017597001204, 10.193113557433671
874;Schmalkalden;SM;50.71903439583954, 10.45255758752264
